iter	Logloss
0	0.6675694794
1	0.6443069459
2	0.6234063397
3	0.6060870119
4	0.5903028396
5	0.5741002633
6	0.5608733572
7	0.5475615133
8	0.5326662365
9	0.5202555348
10	0.5085212738
11	0.4939675514
12	0.4823172393
13	0.4718293923
14	0.4622310665
15	0.4540199729
16	0.4477680944
17	0.4406956809
18	0.4333674378
19	0.4261726895
20	0.4202975232
21	0.4161093098
22	0.410491802
23	0.4048526475
24	0.4010071978
25	0.3966600695
26	0.3935302556
27	0.3897149678
28	0.3857662864
29	0.3827832898
30	0.3788814658
31	0.3749181376
32	0.3720104601
33	0.3692236243
34	0.3654466042
35	0.3643832154
36	0.3630663318
37	0.3608888002
38	0.3588049993
39	0.3571194293
40	0.3542417021
41	0.3522454898
42	0.3498602439
43	0.3488364671
44	0.3469788712
45	0.3442375015
46	0.3431497671
47	0.3417778024
48	0.3403348475
49	0.3386955836
50	0.3364697241
51	0.3352308143
52	0.3339483549
53	0.3328254441
54	0.3315024767
55	0.330600648
56	0.3297251561
57	0.328804843
58	0.3282215279
59	0.326802218
60	0.3253161407
61	0.3240813298
62	0.3236679687
63	0.322568272
64	0.3214107707
65	0.3202328211
66	0.3190223805
67	0.3186264458
68	0.3169197432
69	0.3163025092
70	0.3156823031
71	0.3151084499
72	0.3142644489
73	0.3134834927
74	0.3126904731
75	0.3122024947
76	0.3117248784
77	0.3107208031
78	0.3095259824
79	0.308772016
80	0.3083838801
81	0.3070177493
82	0.3064885472
83	0.3054747167
84	0.3041895468
85	0.3030425662
86	0.3024796148
87	0.3017682456
88	0.3012203023
89	0.3007216932
90	0.3006753639
91	0.2999772336
92	0.2989013853
93	0.2985478799
94	0.2979688035
95	0.2973008982
96	0.2967139214
97	0.2956234947
98	0.2948165046
99	0.2943294262
100	0.2935203439
101	0.2931509912
102	0.2925603683
103	0.2914565492
104	0.2908573716
105	0.2906127881
106	0.2903244406
107	0.2900205733
108	0.2895695105
109	0.2894016485
110	0.2890371108
111	0.2884992091
112	0.2884990234
113	0.2879791765
114	0.2871461703
115	0.2869503227
116	0.2865718844
117	0.286351437
118	0.285856359
119	0.2855497268
120	0.2847054113
121	0.2844367366
122	0.2839022391
123	0.283586924
124	0.2833321875
125	0.2821977637
126	0.2814348592
127	0.2812626133
128	0.2807985632
129	0.2805097965
130	0.2801189352
131	0.2798755665
132	0.2794230756
133	0.2789103085
134	0.2785261317
135	0.2783906265
136	0.2778683483
137	0.2774600984
138	0.2770184226
139	0.2762027609
140	0.2757935608
141	0.2754876611
142	0.2752350624
143	0.2748436338
144	0.2746863846
145	0.2738484473
146	0.2734318985
147	0.2732362931
148	0.2729819215
149	0.2725109899
150	0.2722784958
151	0.2716867413
152	0.2715462488
153	0.2712432319
154	0.2708465488
155	0.2706272769
156	0.2704871013
157	0.269743731
158	0.269294904
159	0.2682408344
160	0.2675747976
161	0.2671072548
162	0.2664810094
163	0.2660467189
164	0.2657977588
165	0.2655283691
166	0.2649011898
167	0.2646620142
168	0.2641712418
169	0.2639534605
170	0.2635177413
171	0.2630329611
172	0.2626077475
173	0.2623501026
174	0.2618023508
175	0.2615489285
176	0.2610464848
177	0.2604888055
178	0.2601694308
179	0.259629378
180	0.2593129968
181	0.2589639439
182	0.2586142071
183	0.258299254
184	0.2579285696
185	0.2572609732
186	0.2571123061
187	0.2569272192
188	0.256555826
189	0.2559475446
190	0.2546774298
191	0.2543522422
192	0.2541676533
193	0.2539525306
194	0.2528885661
195	0.2522455206
196	0.2517152068
197	0.2509942766
198	0.2504978582
199	0.2500839625
200	0.2494779523
201	0.2488251813
202	0.248573585
203	0.2476673324
204	0.2469411258
205	0.2462183275
206	0.245616404
207	0.2451564291
208	0.2446454172
209	0.2442463725
210	0.2436927102
211	0.2429932903
212	0.2426950443
213	0.2418352099
214	0.2411199638
215	0.2406489316
216	0.2403342728
217	0.2398136279
218	0.2393950213
219	0.2385904204
220	0.2379279739
221	0.2370594645
222	0.2362734331
223	0.2355163479
224	0.2340913858
225	0.233671863
226	0.2329544805
227	0.2323724637
228	0.2314912342
229	0.2301243481
230	0.2292385168
231	0.2281587687
232	0.2272461363
233	0.2269196595
234	0.2263490223
235	0.2255170559
236	0.2248746486
237	0.2235997021
238	0.2226998402
239	0.2211869909
240	0.2207751687
241	0.2198651756
242	0.2188032459
243	0.2179664935
244	0.2173103109
245	0.2159168264
246	0.2146734434
247	0.2132460998
248	0.2126560098
249	0.2116015065
250	0.2101890489
251	0.208792315
252	0.2079508544
253	0.2066030755
254	0.205842297
255	0.2048460541
256	0.2035480399
257	0.2028187031
258	0.2016002025
259	0.2002943508
260	0.1989577287
261	0.1979327199
262	0.1969861389
263	0.1959892058
264	0.1944892069
265	0.1932099004
266	0.1921319682
267	0.1912677983
268	0.1900202565
269	0.1886263681
270	0.1878323302
271	0.1869550549
272	0.1856164908
273	0.1846691633
274	0.1838917384
275	0.1828992476
276	0.1820526335
277	0.1809877502
278	0.1803109551
279	0.1790405009
280	0.1780045758
281	0.1769707254
282	0.176073674
