iter	Logloss
283	0.1749302634
284	0.1740039003
285	0.1734425227
286	0.1725135674
287	0.1715483054
288	0.1702921331
289	0.169615226
290	0.1687400263
291	0.1678602401
292	0.1668395406
293	0.1661360112
294	0.1651355638
295	0.1641720854
296	0.1633537557
297	0.1623075822
298	0.1615118733
299	0.1606190026
300	0.1594995189
301	0.1587234409
302	0.1579604376
303	0.1571792931
304	0.1563599419
305	0.1553862202
306	0.1545569658
307	0.1540521911
308	0.1529055995
309	0.1518943025
310	0.1512050429
311	0.1505571104
312	0.1497901594
313	0.1489525719
314	0.148092403
315	0.1473978543
316	0.1464992864
317	0.1456287688
318	0.1449583302
319	0.1443533759
320	0.1437404462
321	0.1429099984
322	0.142436982
323	0.1417037308
324	0.1411026341
325	0.1404014302
326	0.1395614147
327	0.1388770877
328	0.1380744323
329	0.137456316
330	0.1369528651
331	0.136342473
332	0.1356021768
333	0.1350061752
334	0.1345992186
335	0.1340118923
336	0.1334537797
337	0.1330620197
338	0.1325835104
339	0.131907628
340	0.1313205023
341	0.1309545617
342	0.1306154781
343	0.12992357
344	0.1293278776
345	0.1286861307
346	0.128110635
347	0.1272942775
348	0.1267992767
349	0.1264515145
350	0.1258208346
351	0.1252460636
352	0.1247849354
353	0.1243124035
354	0.123838378
355	0.1232543917
356	0.1227139259
357	0.1220799305
358	0.1215675006
359	0.1210077386
360	0.1205478421
361	0.1201146456
362	0.119765732
363	0.1191415177
364	0.1187949411
365	0.1182184483
366	0.1178677862
367	0.1174147348
368	0.1167347829
369	0.1162455284
370	0.1156071354
371	0.1151946011
372	0.1146660075
373	0.1142500846
374	0.1140378882
375	0.1137106243
376	0.113400194
377	0.1129548458
378	0.1125041959
379	0.1120926879
380	0.1116976218
381	0.1114000373
382	0.1110545394
383	0.1105033996
384	0.1100627844
385	0.1095540915
386	0.109095708
387	0.1086655735
388	0.1083248518
389	0.1076664275
390	0.1073588037
391	0.106950748
392	0.1065459045
393	0.1061289552
394	0.1058092177
395	0.1053416638
396	0.1049128814
397	0.1043816661
398	0.1039738161
399	0.1035938806
400	0.1033642849
401	0.1030773191
402	0.102735594
403	0.1023015498
404	0.1020538075
405	0.1017899987
406	0.1013903743
407	0.1010664509
408	0.1006205595
409	0.100272818
410	0.09981296073
411	0.09949957842
412	0.09918011805
413	0.09875570255
414	0.0984698647
415	0.09799875172
416	0.09766895142
417	0.09736640397
418	0.09696059277
419	0.09655279264
420	0.09618305013
421	0.0958938239
422	0.09559991957
423	0.09522751457
424	0.09487583529
425	0.09455343531
426	0.09423709913
427	0.09386093911
428	0.09352761209
429	0.09328338968
430	0.0930338492
431	0.09279912788
432	0.09247607867
433	0.09228185456
434	0.09197443347
435	0.09155683519
436	0.09125721559
437	0.09097696925
438	0.09072387337
439	0.09048553373
440	0.09019076262
441	0.08998719967
442	0.08971057594
443	0.08936556345
444	0.08899295681
445	0.08874425331
446	0.08845385629
447	0.08829357907
448	0.08802459014
449	0.0876396074
450	0.0873215782
451	0.08699026094
452	0.08670369099
453	0.08635097554
454	0.0861424913
455	0.08588562188
456	0.08555899181
457	0.08529848695
458	0.08508691904
459	0.08479655849
460	0.08449055454
461	0.08416774435
462	0.08387790723
463	0.08361071572
464	0.08339408342
465	0.08318158967
466	0.08294585241
467	0.08266653046
468	0.08240037931
469	0.0820900545
470	0.08179520362
471	0.08158460273
472	0.08137514296
473	0.08117469067
474	0.08093288253
475	0.08062618318
476	0.08038881979
477	0.08009707862
478	0.07986896734
479	0.07966577122
480	0.07942342626
481	0.07921319048
482	0.07883081621
483	0.07852823793
484	0.07836743517
485	0.07808792636
486	0.07788017833
487	0.0776849014
488	0.07742085632
489	0.07719450031
490	0.07692752627
491	0.07671152136
492	0.07644490341
493	0.07621196202
494	0.07593494097
495	0.07570140151
496	0.07545459367
497	0.07526662016
498	0.07500831185
499	0.07481888946
500	0.07455877809
501	0.07430322508
502	0.07407132054
503	0.07385369124
504	0.07357937094
505	0.07333740177
506	0.07308275406
507	0.07290424167
508	0.07264708526
509	0.07244259103
510	0.07225317607
511	0.07207713403
512	0.0719053468
513	0.07168323492
514	0.07147427009
515	0.07128576992
516	0.07108964525
517	0.07085596931
518	0.0706402729
519	0.07045910609
520	0.07027823692
521	0.07018489539
522	0.06993571926
523	0.06975269555
524	0.06962247623
525	0.06941111377
526	0.06919253002
527	0.06899869607
528	0.06876062976
529	0.06854807269
530	0.06844453096
531	0.06827553307
532	0.06805801494
533	0.06790613457
534	0.06763132709
535	0.06741323412
536	0.0672214427
537	0.06706854621
538	0.06687115252
539	0.0667256164
540	0.06659161209
541	0.06639326754
542	0.06625453101
543	0.06605277648
544	0.06584638438
545	0.06568858067
546	0.06557465409
547	0.06540388637
548	0.06520892367
549	0.06505794537
550	0.06489842276
551	0.06472641915
552	0.06460962002
553	0.06446754069
554	0.0643382636
555	0.06420094173
556	0.06402678324
557	0.06387160867
558	0.06374958929
559	0.06354639125
560	0.06336603101
561	0.06322735349
562	0.06304461509
563	0.06287113014
564	0.06271714957
565	0.06257732173
